<Background>
BackgroundGame 0,0,960,600
<Menu_Background>
Menu_Background 0,0,960,600
<Menu_frame>
Menu_frame 0,0,364,512
<Menu>
NewGameFree 0,0,254,48
ContinueFree 0,48,254,48
SettingsFree 0,96,254,48
HighscoresFree 0,144,254,48
AboutFree 0,192,254,48
ExitFree 0,240,254,48
NewGameHold 254,0,254,48
ContinueHold 254,48,254,48
SettingsHold 254,96,254,48
HighscoresHold 254,144,254,48
AboutHold 0,254,254,48
ExitHold 0,254,254,48
<Interface>
ReloadFree 0,0,51,51
SaveFree 0,50,51,51
BackFree 0,100,51,51
ReloadHold 50,0,51,51
SaveHold 50,50,51,51
BackHold 50,100,51,51
